0, 1720.68, 2120.45
1, 1571.39, 1988.87
2, 1607.67, 1917.44
3, 1466.67, 1840.54
4, 1414.64, 1796.22
5, 1414.64, 1751.41
6, 1380.41, 1710.08
7, 1350.77, 1670.35
8, 1350.77, 1640.53
9, 1281.85, 1606.46
10, 1235.78, 1565.34
11, 1235.78, 1531.34
12, 1222.64, 1495.55
13, 1210.54, 1470.28
14, 1210.54, 1440.32
15, 1162.6, 1390.9
16, 1143.66, 1354.84
17, 1078.67, 1319.5
18, 1064.63, 1296.91
19, 1058.41, 1277.64
20, 1058.41, 1252.35
21, 1033.92, 1232.17
22, 1025.24, 1199.59
23, 1012.32, 1157.92
24, 960.57, 1117.56
25, 960.57, 1076.34
26, 960.57, 1060.03
27, 947.43, 1046.62
28, 902.05, 1036.47
29, 902.05, 1017.44
30, 902.05, 993.76
31, 888.61, 979.29
32, 871.29, 959.39
33, 866.08, 933.94
34, 866.08, 929.56
35, 859.65, 922.65
36, 846.45, 915.47
37, 846.45, 900.64
38, 842.91, 891.74
39, 839.78, 881.39
40, 833.87, 871.17
41, 833.87, 867.13
42, 833.87, 864.1
43, 833.87, 860.62
44, 833.87, 855.47
45, 825.74, 856.2
46, 825.74, 858.84
47, 825.13, 856.57
48, 819.92, 855.15
49, 819.92, 850.14
50, 819.31, 849.94
51, 819.31, 847.63
52, 819.31, 840.15
53, 819.31, 843.22
54, 817.35, 840.84
55, 817.35, 841.73
56, 817.35, 842.41
57, 817.35, 842.45
58, 817.35, 847.54
59, 817.35, 843.53
60, 817.35, 841.74
61, 817.35, 840.42
62, 817.35, 839.37
63, 817.35, 839.5
64, 817.35, 836.78
65, 817.35, 842.73
66, 817.35, 838.57
67, 817.35, 844.4
68, 817.35, 839.07
69, 817.35, 843.24
70, 817.35, 843.31
71, 817.35, 839.01
72, 817.35, 844.03
73, 817.35, 844.12
74, 817.35, 841.28
75, 817.35, 845.89
76, 817.35, 842.09
77, 817.35, 839.61
78, 817.35, 839.22
79, 817.35, 838.05
80, 817.35, 843.12
81, 817.35, 848.47
82, 817.35, 841.97
83, 817.35, 843.66
84, 817.35, 843.82
85, 817.35, 844.64
86, 817.35, 842.89
87, 817.35, 841.27
88, 817.35, 842.62
89, 817.35, 841.07
90, 817.35, 840.68
91, 817.35, 844.17
92, 817.35, 843.19
93, 817.35, 840.15
94, 817.35, 838.16
95, 817.35, 842.34
96, 817.35, 841.13
97, 817.35, 838.89
98, 817.35, 843.55
99, 817.35, 843.01
100, 817.35, 841.55
101, 817.35, 844.73
102, 817.35, 843.53
103, 817.35, 845.22
104, 817.35, 842.49
105, 817.35, 840.14
106, 817.35, 843.33
107, 817.35, 839.99
108, 817.35, 841.27
109, 817.35, 838.36
110, 817.35, 839.98
111, 817.35, 840.9
